Date,,open,high,low,Close
20/08/2016,Sunday,11,11.99,10.78,12.1
21/08/2016,Monday,7,7,6.58,7.35
22/08/2016,Tuesday,18,19.26,16.74,18
23/08/2016,Wednesday,24,24.72,21.6,26.16
24/08/2016,Thursday,42,41.58,38.64,40.74
25/08/2016,Friday,15,15,13.65,14.55
26/08/2016,Saturday,22,23.1,20.68,23.1
27/08/2016,Sunday,23,25.07,23.23,23.69
28/08/2016,Monday,44,45.76,39.6,44.88
29/08/2016,Tuesday,16,15.84,14.72,15.36
30/08/2016,Wednesday,36,38.88,34.92,32.76
31/08/2016,Thursday,32,32.32,31.04,33.6
01/09/2016,Friday,32,32.64,28.8,34.56
02/09/2016,Saturday,43,45.15,42.14,39.56
03/09/2016,Sunday,17,17.34,16.15,15.47
04/09/2016,Monday,36,38.88,36.36,34.92
05/09/2016,Tuesday,29,30.45,26.97,30.45
06/09/2016,Wednesday,14,14,13.02,14.42
07/09/2016,Thursday,32,32.96,32.96,30.4
08/09/2016,Friday,16,16.16,15.04,15.84
09/09/2016,Saturday,8,8.32,7.68,8.4
10/09/2016,Sunday,12,11.88,12.36,11.16
11/09/2016,Monday,27,28.62,24.57,27.54
12/09/2016,Tuesday,24,23.76,22.32,24.48
13/09/2016,Wednesday,21,21.84,19.53,18.9
14/09/2016,Thursday,35,36.05,35.7,36.75
15/09/2016,Friday,14,15.4,13.72,14.98
16/09/2016,Saturday,13,13.65,13,13.52
17/09/2016,Sunday,43,45.15,39.13,39.13
18/09/2016,Monday,31,33.48,31,29.45
19/09/2016,Tuesday,38,40.28,39.14,41.8
20/09/2016,Wednesday,37,39.96,35.89,36.26
21/09/2016,Thursday,44,47.08,44,45.76
22/09/2016,Friday,25,27.25,24,26.5
23/09/2016,Saturday,18,18.9,18.36,19.8
24/09/2016,Sunday,16,16.96,15.36,15.68
25/09/2016,Monday,26,27.04,23.92,24.7
26/09/2016,Tuesday,42,46.2,37.8,46.2
27/09/2016,Wednesday,45,46.8,45.9,47.25
28/09/2016,Thursday,42,46.2,42.42,39.48
29/09/2016,Friday,33,33.99,31.68,31.35
30/09/2016,Saturday,25,26,25.25,22.75
01/10/2016,Sunday,45,46.8,45.9,47.25
02/10/2016,Monday,31,34.1,29.14,30.38
03/10/2016,Tuesday,28,30.52,28.84,29.68
04/10/2016,Wednesday,12,12.96,12.36,12.84
05/10/2016,Thursday,41,41,39.77,41.82
06/10/2016,Friday,25,25,25.25,27.5
07/10/2016,Saturday,20,19.8,20.2,21.4
08/10/2016,Sunday,13,14.3,13.39,13.65
09/10/2016,Monday,35,38.15,36.05,34.65
10/10/2016,Tuesday,16,16.8,14.88,16.64
11/10/2016,Wednesday,26,26,24.18,26.52
12/10/2016,Thursday,17,17,15.98,16.66
