Date,,open,high,low,Close
20/08/2016,Sunday,343,353.29,339.57,360.15
21/08/2016,Monday,340,343.4,343.4,319.6
22/08/2016,Tuesday,389,408.45,357.88,420.12
23/08/2016,Wednesday,223,240.84,229.69,209.62
24/08/2016,Thursday,448,465.92,434.56,479.36
25/08/2016,Friday,306,321.3,315.18,290.7
26/08/2016,Saturday,409,429.45,368.1,429.45
27/08/2016,Sunday,322,318.78,296.24,322
28/08/2016,Monday,249,246.51,256.47,229.08
29/08/2016,Tuesday,350,346.5,357,346.5
30/08/2016,Wednesday,419,414.81,381.29,427.38
31/08/2016,Thursday,291,299.73,285.18,276.45
01/09/2016,Friday,395,418.7,402.9,387.1
02/09/2016,Saturday,332,348.6,341.96,355.24
03/09/2016,Sunday,315,333.9,286.65,289.8
04/09/2016,Monday,411,431.55,386.34,411
05/09/2016,Tuesday,442,472.94,437.58,433.16
06/09/2016,Wednesday,429,471.9,420.42,433.29
07/09/2016,Thursday,280,277.2,266,291.2
08/09/2016,Friday,446,486.14,441.54,486.14
09/09/2016,Saturday,298,295.02,280.12,312.9
10/09/2016,Sunday,335,368.5,318.25,348.4
11/09/2016,Monday,398,433.82,358.2,374.12
12/09/2016,Tuesday,203,211.12,182.7,219.24
13/09/2016,Wednesday,301,328.09,307.02,307.02
14/09/2016,Thursday,433,454.65,433,398.36
15/09/2016,Friday,373,395.38,346.89,399.11
16/09/2016,Saturday,305,301.95,295.85,277.55
17/09/2016,Sunday,438,438,438,477.42
18/09/2016,Monday,289,309.23,291.89,291.89
19/09/2016,Tuesday,444,488.4,439.56,412.92
20/09/2016,Wednesday,248,257.92,225.68,265.36
21/09/2016,Thursday,333,352.98,333,349.65
22/09/2016,Friday,203,213.15,209.09,209.09
23/09/2016,Saturday,318,330.72,289.38,324.36
24/09/2016,Sunday,335,368.5,301.5,335
25/09/2016,Monday,220,224.4,200.2,231
26/09/2016,Tuesday,240,254.4,220.8,249.6
27/09/2016,Wednesday,388,422.92,388,391.88
28/09/2016,Thursday,240,256.8,232.8,252
29/09/2016,Friday,393,420.51,365.49,389.07
30/09/2016,Saturday,362,372.86,340.28,394.58
01/10/2016,Sunday,232,238.96,208.8,222.72
02/10/2016,Monday,381,381,384.81,361.95
03/10/2016,Tuesday,420,462,424.2,445.2
04/10/2016,Wednesday,346,359.84,352.92,377.14
05/10/2016,Thursday,340,340,340,333.2
06/10/2016,Friday,419,427.38,402.24,427.38
07/10/2016,Saturday,241,245.82,228.95,253.05
08/10/2016,Sunday,206,226.6,197.76,201.88
09/10/2016,Monday,219,236.52,203.67,219
10/10/2016,Tuesday,368,390.08,334.88,349.6
11/10/2016,Wednesday,450,450,405,463.5
12/10/2016,Thursday,361,371.83,324.9,332.12
